Inventory Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Energy,4909.296266962449,4869.796472007639,4970.9108482191405,5073.934129102903,5159.3508675327,5212.458800530397,5399.649240873165,5472.056846622669,5522.369199337436,5602.840386265279,5772.886209207066,5696.793062013199,5738.380693688316,5792.954751266318,5901.572430826239,5930.296121916493,5844.900651854798,5919.436454666244,5736.191999860927,5340.717023873134,5518.030552977659,5381.756381852632,5185.048407340993,5331.564449071632,5375.404268822242,5231.530222578698,5119.841455104915,5081.320835664898,5249.294883186682
Industrial processes,212.3263867376319,202.1325073014958,205.2215722061886,203.4356755283837,211.1944770059584,219.6995780786426,220.6317589520532,225.0108028642458,221.4558227368113,220.3134012043748,217.91099918201,196.2010550122053,196.2294678449848,191.1946698391161,198.9727254168401,194.097891661154,198.8880448531353,201.3259690951903,186.1789809553393,143.4843581905956,171.8767579547966,176.1564562402857,172.7925974432393,174.7873666646016,178.7829145839552,173.0830630049998,165.3037958131219,164.6910768711974,167.8411236966908
Agriculture,6.6779631512165,6.9605965760895,6.5742992341237,6.0677904846458,6.4873636478077,6.7473249635471,6.6309012610198,6.6393185459172,7.2269578777287,7.1438485751023,7.2732253856415,7.4424792154449,8.0421730733532,7.8102122176817,7.0730900837227,7.4989627746858,7.2623250603478,7.6672167257859,8.1686625240211,6.8343449307618,8.1484683807015,7.3815630297461,9.7275504512531,7.6774786398066,7.532032752904,7.8189088366559,7.1223105420101,7.5942174913779,7.7454952495103
"Land use, land-use change, and forestry",-860.7467903997099,-865.9501493172639,-849.4315507727338,-835.4720308278042,-852.614965690367,-820.7071825758067,-847.9404179468746,-822.2810902329917,-825.299141873455,-820.5336104817382,-822.2789510982282,-791.722518827738,-810.990721940854,-719.5763384234905,-768.69053549928,-830.9518450449442,-828.3461508610782,-800.0014054917262,-749.1416767910127,-776.1281592725594,-751.9705878016582,-805.2326754417654,-803.2124340278061,-788.7084379720691,-739.5649479421205,-802.9288503206103,-801.7344062557329,-790.0185818881843,-799.6215226261103
Total,4267.553826451587,4212.93942656796,4333.275168886719,4447.965564288128,4524.417742496099,4618.19852099678,4778.971483139363,4881.42587779984,4925.752838078521,5009.764025563019,5175.791482676488,5108.714077413111,5131.6616126658,5272.383294899625,5338.927710827522,5300.941131307388,5222.704870907202,5328.428234995493,5181.397966549275,4714.9075677219325,4946.085191511498,4760.061725680898,4564.356121207679,4725.320856403971,4822.15426821698,4609.503344099743,4490.533155204314,4463.5875481392895,4625.259979506772
