Electricity Generation Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fossil fuel combustion: carbon dioxide,1819.9505893385,1817.3586844666,1830.6879594436,1906.1720738784,1930.4684738503,1947.1732378879,2020.2429705096,2087.5198032039,2176.5546251533,2189.6658226865,2296.0307747181,2257.0850076662,2272.138414038,2303.5604668486,2334.9929895403,2399.973540974,2344.3524804568,2411.1113149079,2359.3108180055,2145.3305944765,2258.61854111,2158.0554706832,2023.2462045991,2038.2579351465,2037.1477702259,1900.6244614026,1808.8626103078,1732.0248265549,1752.8487495219
Fossil fuel combustion: other greenhouse gases,20.9323594924,20.8961397976,21.0526290261,21.9492936244,22.3902732706,22.5887350564,23.1855895477,23.7440954097,24.4844825115,24.5477562219,25.9271534304,25.7933317789,27.1342992336,28.3474398463,29.5560210795,30.9284719216,30.7149510092,31.2222397378,30.9526066235,28.8169277198,31.1055371251,29.8671713561,27.6224254155,29.6559215735,29.9413515849,27.6866618498,27.3698190078,25.8541834363,25.6113814334
Incineration of waste,8.4071353332,8.3393540751,9.9179164857,10.1669852584,11.2700165582,11.7039081687,12.3035899324,12.2620598876,11.1983926306,11.3625916656,11.4948262742,11.7824581411,12.2117671667,12.4847110678,12.7619180811,12.8557067131,12.9154290947,13.1025005165,12.2368947174,11.6467419913,11.3756221418,10.8438479625,10.6732035819,10.6497709427,10.7441697463,11.0657855275,11.2283780957,11.4201140265,11.4223201278
Other electricity generation categories,26.303574495299998,25.028351454400003,24.9354655954,24.066617705200002,23.0232350611,22.4068341537,21.122565511,19.4966439611,17.325321360300002,18.041829758,15.704702978,15.0045827736,14.0573979987,12.4297604899,12.567912225499999,12.1722000333,11.326792770800001,10.565647626899999,9.692360581700001,10.2392127217,11.018066450100001,11.0481040498,9.385663916599999,10.3225542963,11.287222526099999,9.8567341966,9.3451206794,9.0963948345,9.0426606836
Total,1875.5936586594,1871.6225297936999,1886.5939705508001,1962.3549704664001,1987.1519987401998,2003.8727152667002,2076.8547155007,2143.0226024623003,2229.5628216557006,2243.618000332,2349.1574574007,2309.6653803598,2325.541878437,2356.8223782526,2389.8788409264002,2455.929919642,2399.3096533314997,2466.0017027891004,2412.1926799281,2196.0334769093,2312.1177668269997,2209.8145940515997,2070.9274975131,2088.8861819589997,2089.1205140832,1949.2336429765,1856.8059280907,1778.3955188522,1798.9251117667
