Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Carbon dioxide,5128.3006168512975,5078.889575885224,5182.706719659453,5283.437595115933,5377.032708186466,5438.905703572586,5626.911901086238,5703.706968032832,5751.051979951976,5830.2976360447565,5998.070433774717,5900.436596240849,5942.652334606653,5991.959633323116,6107.618246326801,6131.892976352332,6051.05102176828,6128.429640487219,5930.5396433402875,5491.035726994492,5698.055779313157,5565.294401122664,5367.568555235485,5514.0292943760405,5561.719216159101,5412.432194420354,5292.267561460048,5253.606130027474,5424.881502132882
Methane,774.4095340333525,778.8605425037375,777.7540088521774,765.9626834450676,772.16076158993,764.998070920595,757.6305060853225,741.833573974085,726.6997549890525,708.8607259486776,703.01092342327,695.6504363529274,688.4182550577925,688.0313399551699,681.718703168005,679.5620901817,683.9538355970575,685.6695338756,691.6920527871075,680.1978130645749,682.3363291749299,656.27044719289,646.8301438503574,642.457536454565,639.01111023651,638.482827006485,624.2447869927751,630.3044675042825,634.4571270782675
Nitrous oxide,434.62426740648016,424.82828626439,424.3481369816576,452.3705429437261,437.56006400032567,449.2575446976146,460.8569218817138,446.6627394295216,446.98949614278604,436.401289568972,423.3097011953112,438.52233684267003,436.6464716381789,437.1439550288962,446.6972042624282,432.63274509478515,428.71376658601156,439.9328944327465,423.6461807135112,422.4614618920114,431.42377119781685,421.855668428415,392.262992961595,439.1752413966716,449.265173863648,443.82130164671526,426.06740079773823,421.25893453404063,434.52855537666636
Fluorinated gases,99.6657124653745,90.6812988182415,95.27772226637349,95.0037321390418,98.976936888632,117.85432114808063,129.00771516130962,136.60135393675262,153.00903264979692,150.0493321087141,151.00591053804828,137.8657067192072,146.7435407768827,137.9774816374591,145.6345300737101,147.6833183185315,150.67026673343148,162.4224002280553,164.25142517830582,160.211084090207,169.79716529157741,177.1129526206905,174.01312369320172,173.88895678937263,179.02115504829936,181.6351040067188,181.5006882600439,183.0651075614296,182.78243246177678
Total,6437.000130756504,6373.259703471594,6480.086587759661,6596.774553643768,6685.730470665354,6771.015640338876,6974.407044214584,7028.804635373192,7077.750263733611,7125.60898367112,7275.396968931347,7172.475076155653,7214.460602079507,7255.112409944641,7381.668683830945,7391.7711299473485,7314.388890684781,7416.454469023621,7210.129302019212,6753.906086041285,6981.613044977481,6820.533469364659,6580.67481574064,6769.55102901665,6829.016655307558,6676.371427080273,6524.080437510605,6488.234639627226,6676.649617049592
