"year","mo","data.type","region","extent","area","date"
1989,10,"      Goddard","      N",8.83,6.96,1989-10-01
1989,11,"      Goddard","      N",11.12,9.46,1989-11-01
1989,12,"      Goddard","      N",13.39,11.61,1989-12-01
1990,1,"      Goddard","      N",14.78,12.8,1990-01-01
1990,2,"      Goddard","      N",15.58,13.42,1990-02-01
1990,3,"      Goddard","      N",15.87,13.51,1990-03-01
1990,4,"      Goddard","      N",14.65,12.28,1990-04-01
1990,5,"      Goddard","      N",13.23,10.9,1990-05-01
1990,6,"      Goddard","      N",11.64,9.2,1990-06-01
1990,7,"      Goddard","      N",9.25,6.52,1990-07-01
1990,8,"      Goddard","      N",6.8,4.99,1990-08-01
1990,9,"      Goddard","      N",6.14,4.55,1990-09-01
1990,10,"      Goddard","      N",8.48,6.74,1990-10-01
1990,11,"      Goddard","      N",11.08,9.64,1990-11-01
1990,12,"      Goddard","      N",13.11,11.47,1990-12-01
1991,1,"      Goddard","      N",14.36,12.57,1991-01-01
1991,2,"      Goddard","      N",15.25,13.22,1991-02-01
1991,3,"      Goddard","      N",15.42,13.42,1991-03-01
1991,4,"      Goddard","      N",14.86,12.87,1991-04-01
1991,5,"      Goddard","      N",13.47,11.5,1991-05-01
1991,6,"      Goddard","      N",12.11,9.66,1991-06-01
1991,7,"      Goddard","      N",9.51,6.76,1991-07-01
1991,8,"      Goddard","      N",7.42,5.21,1991-08-01
1991,9,"      Goddard","      N",6.47,4.51,1991-09-01
1991,10,"      Goddard","      N",8.54,6.75,1991-10-01
1991,11,"      Goddard","      N",10.88,9.25,1991-11-01
1991,12,"      Goddard","      N",12.95,11.19,1991-12-01
1992,1,"      Goddard","      N",14.64,12.61,1992-01-01
1992,2,"      Goddard","      N",15.46,13.58,1992-02-01
1992,3,"      Goddard","      N",15.48,13.48,1992-03-01
1992,4,"      Goddard","      N",14.68,12.84,1992-04-01
1992,5,"      Goddard","      N",13.22,11.43,1992-05-01
1992,6,"      Goddard","      N",12.15,9.95,1992-06-01
1992,7,"      Goddard","      N",10.32,7.22,1992-07-01
1992,8,"      Goddard","      N",7.93,5.44,1992-08-01
1992,9,"      Goddard","      N",7.47,5.43,1992-09-01
1992,10,"      Goddard","      N",9.32,7.74,1992-10-01
1992,11,"      Goddard","      N",11.38,9.75,1992-11-01
1992,12,"      Goddard","      N",13.41,11.72,1992-12-01
1993,1,"      Goddard","      N",14.9,12.93,1993-01-01
1993,2,"      Goddard","      N",15.69,13.61,1993-02-01
1993,3,"      Goddard","      N",15.81,13.77,1993-03-01
1993,4,"      Goddard","      N",15.08,13.03,1993-04-01
1993,5,"      Goddard","      N",13.37,11.42,1993-05-01
1993,6,"      Goddard","      N",11.87,9.26,1993-06-01
1993,7,"      Goddard","      N",9.48,6.28,1993-07-01
1993,8,"      Goddard","      N",7.33,4.76,1993-08-01
1993,9,"      Goddard","      N",6.4,4.58,1993-09-01
1993,10,"      Goddard","      N",8.79,7.06,1993-10-01
1993,11,"      Goddard","      N",11.32,9.54,1993-11-01
1993,12,"      Goddard","      N",13.32,11.48,1993-12-01
1994,1,"      Goddard","      N",14.73,12.88,1994-01-01
1994,2,"      Goddard","      N",15.56,13.52,1994-02-01
1994,3,"      Goddard","      N",15.55,13.55,1994-03-01
1994,4,"      Goddard","      N",14.89,12.91,1994-04-01
1994,5,"      Goddard","      N",13.62,11.66,1994-05-01
1994,6,"      Goddard","      N",12.02,9.68,1994-06-01
1994,7,"      Goddard","      N",9.93,6.92,1994-07-01
1994,8,"      Goddard","      N",7.64,5.19,1994-08-01
1994,9,"      Goddard","      N",7.14,5.13,1994-09-01
1994,10,"      Goddard","      N",8.92,7.23,1994-10-01
1994,11,"      Goddard","      N",11.12,9.71,1994-11-01
1994,12,"      Goddard","      N",13.27,11.49,1994-12-01
1995,1,"      Goddard","      N",14.59,12.79,1995-01-01
1995,2,"      Goddard","      N",15.23,13.37,1995-02-01
1995,3,"      Goddard","      N",15.26,13.34,1995-03-01
1995,4,"      Goddard","      N",14.45,12.4,1995-04-01
1995,5,"      Goddard","      N",12.97,10.9,1995-05-01
1995,6,"      Goddard","      N",11.44,8.94,1995-06-01
1995,7,"      Goddard","      N",8.99,6.16,1995-07-01
1995,8,"      Goddard","      N",6.74,4.69,1995-08-01
1995,9,"      Goddard","      N",6.08,4.43,1995-09-01
1995,10,"      Goddard","      N",7.83,5.99,1995-10-01
1995,11,"      Goddard","      N",10.76,9.03,1995-11-01
1995,12,"      Goddard","      N",12.92,11.09,1995-12-01
1996,1,"      Goddard","      N",14.18,12.15,1996-01-01
1996,2,"      Goddard","      N",15.15,12.98,1996-02-01
1996,3,"      Goddard","      N",15.12,12.9,1996-03-01
1996,4,"      Goddard","      N",14.22,12.32,1996-04-01
1996,5,"      Goddard","      N",13.09,11.28,1996-05-01
1996,6,"      Goddard","      N",12.08,9.83,1996-06-01
1996,7,"      Goddard","      N",10.16,7.44,1996-07-01
1996,8,"      Goddard","      N",8.18,5.73,1996-08-01
1996,9,"      Goddard","      N",7.58,5.62,1996-09-01
1996,10,"      Goddard","      N",9.16,7.54,1996-10-01
1996,11,"      Goddard","      N",10.4,8.77,1996-11-01
1996,12,"      Goddard","      N",12.86,11.03,1996-12-01
1997,1,"      Goddard","      N",14.42,12.39,1997-01-01
1997,2,"      Goddard","      N",15.44,13.44,1997-02-01
1997,3,"      Goddard","      N",15.47,13.3,1997-03-01
1997,4,"      Goddard","      N",14.56,12.57,1997-04-01
1997,5,"      Goddard","      N",13.18,11.24,1997-05-01
1997,6,"      Goddard","      N",11.74,9.2,1997-06-01
1997,7,"      Goddard","      N",9.41,6.5,1997-07-01
1997,8,"      Goddard","      N",7.29,5.09,1997-08-01
1997,9,"      Goddard","      N",6.69,4.89,1997-09-01
1997,10,"      Goddard","      N",8.34,6.47,1997-10-01
1997,11,"      Goddard","      N",10.68,9.07,1997-11-01
1997,12,"      Goddard","      N",13.08,11.24,1997-12-01
1998,1,"      Goddard","      N",14.72,12.81,1998-01-01
1998,2,"      Goddard","      N",15.75,13.77,1998-02-01
1998,3,"      Goddard","      N",15.6,13.57,1998-03-01
1998,4,"      Goddard","      N",14.89,12.85,1998-04-01
1998,5,"      Goddard","      N",13.59,11.4,1998-05-01
1998,6,"      Goddard","      N",11.71,9.18,1998-06-01
1998,7,"      Goddard","      N",9.42,6.45,1998-07-01
1998,8,"      Goddard","      N",7.51,4.69,1998-08-01
1998,9,"      Goddard","      N",6.54,4.3,1998-09-01
1998,10,"      Goddard","      N",8.45,6.71,1998-10-01
1998,11,"      Goddard","      N",10.44,8.88,1998-11-01
1998,12,"      Goddard","      N",12.76,10.91,1998-12-01
1999,1,"      Goddard","      N",14.36,12.6,1999-01-01
1999,2,"      Goddard","      N",15.31,13.45,1999-02-01
1999,3,"      Goddard","      N",15.4,13.54,1999-03-01
1999,4,"      Goddard","      N",15.08,13.15,1999-04-01
1999,5,"      Goddard","      N",13.75,11.66,1999-05-01
1999,6,"      Goddard","      N",11.78,9.25,1999-06-01
1999,7,"      Goddard","      N",9.49,6.55,1999-07-01
1999,8,"      Goddard","      N",7.23,4.75,1999-08-01
1999,9,"      Goddard","      N",6.12,4.29,1999-09-01
1999,10,"      Goddard","      N",8.6,6.83,1999-10-01
1999,11,"      Goddard","      N",10.8,9.26,1999-11-01
1999,12,"      Goddard","      N",12.64,10.99,1999-12-01
2000,1,"      Goddard","      N",14.22,12.3,2000-01-01
2000,2,"      Goddard","      N",15.14,13.09,2000-02-01
2000,3,"      Goddard","      N",15.22,13.17,2000-03-01
2000,4,"      Goddard","      N",14.56,12.6,2000-04-01
2000,5,"      Goddard","      N",13.15,11.24,2000-05-01
2000,6,"      Goddard","      N",11.67,9.05,2000-06-01
2000,7,"      Goddard","      N",9.51,6.39,2000-07-01
2000,8,"      Goddard","      N",7.17,4.78,2000-08-01
2000,9,"      Goddard","      N",6.25,4.35,2000-09-01
2000,10,"      Goddard","      N",8.38,6.69,2000-10-01
2000,11,"      Goddard","      N",10.32,8.87,2000-11-01
2000,12,"      Goddard","      N",12.64,10.96,2000-12-01
2001,1,"      Goddard","      N",14.2,12.35,2001-01-01
2001,2,"      Goddard","      N",15.21,13.22,2001-02-01
2001,3,"      Goddard","      N",15.52,13.64,2001-03-01
2001,4,"      Goddard","      N",14.86,13.05,2001-04-01
2001,5,"      Goddard","      N",13.51,11.38,2001-05-01
2001,6,"      Goddard","      N",11.46,9.09,2001-06-01
2001,7,"      Goddard","      N",9.07,6.29,2001-07-01
2001,8,"      Goddard","      N",7.46,4.94,2001-08-01
2001,9,"      Goddard","      N",6.73,4.59,2001-09-01
2001,10,"      Goddard","      N",8.3,6.65,2001-10-01
2001,11,"      Goddard","      N",10.66,9.08,2001-11-01
2001,12,"      Goddard","      N",12.49,10.55,2001-12-01
2002,1,"      Goddard","      N",14.27,12.26,2002-01-01
2002,2,"      Goddard","      N",15.34,13.42,2002-02-01
2002,3,"      Goddard","      N",15.35,13.42,2002-03-01
2002,4,"      Goddard","      N",14.3,12.41,2002-04-01
2002,5,"      Goddard","      N",12.97,11.16,2002-05-01
2002,6,"      Goddard","      N",11.58,9.19,2002-06-01
2002,7,"      Goddard","      N",9.27,6.44,2002-07-01
2002,8,"      Goddard","      N",6.6,4.32,2002-08-01
2002,9,"      Goddard","      N",5.83,4.03,2002-09-01
2002,10,"      Goddard","      N",8.16,6.24,2002-10-01
2002,11,"      Goddard","      N",10.34,8.75,2002-11-01
2002,12,"      Goddard","      N",12.61,10.64,2002-12-01
2003,1,"      Goddard","      N",14.39,12.29,2003-01-01
2003,2,"      Goddard","      N",15.19,13.23,2003-02-01
2003,3,"      Goddard","      N",15.48,13.42,2003-03-01
2003,4,"      Goddard","      N",14.51,12.46,2003-04-01
2003,5,"      Goddard","      N",13.02,10.89,2003-05-01
2003,6,"      Goddard","      N",11.6,9.11,2003-06-01
2003,7,"      Goddard","      N",9.21,6.15,2003-07-01
2003,8,"      Goddard","      N",6.94,4.52,2003-08-01
2003,9,"      Goddard","      N",6.12,4.05,2003-09-01
2003,10,"      Goddard","      N",7.85,5.98,2003-10-01
2003,11,"      Goddard","      N",10.13,8.57,2003-11-01
2003,12,"      Goddard","      N",12.59,10.8,2003-12-01
2004,1,"      Goddard","      N",14.03,12.26,2004-01-01
2004,2,"      Goddard","      N",14.91,12.94,2004-02-01
2004,3,"      Goddard","      N",14.99,12.99,2004-03-01
2004,4,"      Goddard","      N",13.99,12.16,2004-04-01
2004,5,"      Goddard","      N",12.56,10.92,2004-05-01
2004,6,"      Goddard","      N",11.45,9.24,2004-06-01
2004,7,"      Goddard","      N",9.43,6.51,2004-07-01
2004,8,"      Goddard","      N",6.85,4.67,2004-08-01
2004,9,"      Goddard","      N",5.98,4.39,2004-09-01
2004,10,"      Goddard","      N",7.93,6.4,2004-10-01
2004,11,"      Goddard","      N",10.34,8.95,2004-11-01
2004,12,"      Goddard","      N",12.55,10.98,2004-12-01
2005,1,"      Goddard","      N",13.66,11.92,2005-01-01
2005,2,"      Goddard","      N",14.37,12.35,2005-02-01
2005,3,"      Goddard","      N",14.69,12.74,2005-03-01
2005,4,"      Goddard","      N",14.09,12.23,2005-04-01
2005,5,"      Goddard","      N",12.91,10.88,2005-05-01
2005,6,"      Goddard","      N",11.16,8.81,2005-06-01
2005,7,"      Goddard","      N",8.65,5.9,2005-07-01
2005,8,"      Goddard","      N",6.3,4.21,2005-08-01
2005,9,"      Goddard","      N",5.5,4.07,2005-09-01
2005,10,"      Goddard","      N",7.35,5.78,2005-10-01
2005,11,"      Goddard","      N",10.22,8.8,2005-11-01
2005,12,"      Goddard","      N",12.23,10.56,2005-12-01
2006,1,"      Goddard","      N",13.47,11.65,2006-01-01
2006,2,"      Goddard","      N",14.32,12.35,2006-02-01
2006,3,"      Goddard","      N",14.42,12.52,2006-03-01
2006,4,"      Goddard","      N",13.91,12.04,2006-04-01
2006,5,"      Goddard","      N",12.52,10.45,2006-05-01
2006,6,"      Goddard","      N",10.92,8.41,2006-06-01
2006,7,"      Goddard","      N",8.46,5.79,2006-07-01
2006,8,"      Goddard","      N",6.5,4.31,2006-08-01
2006,9,"      Goddard","      N",5.86,4.01,2006-09-01
2006,10,"      Goddard","      N",7.54,5.8,2006-10-01
2006,11,"      Goddard","      N",9.66,8.13,2006-11-01
2006,12,"      Goddard","      N",11.95,10.17,2006-12-01
2007,1,"      Goddard","      N",13.7,11.86,2007-01-01
2007,2,"      Goddard","      N",14.51,12.58,2007-02-01
2007,3,"      Goddard","      N",14.54,12.56,2007-03-01
2007,4,"      Goddard","      N",13.85,11.83,2007-04-01
2007,5,"      Goddard","      N",12.78,10.77,2007-05-01
2007,6,"      Goddard","      N",11.22,8.21,2007-06-01
2007,7,"      Goddard","      N",7.94,5.13,2007-07-01
2007,8,"      Goddard","      N",5.34,3.19,2007-08-01
2007,9,"      Goddard","      N",4.27,2.82,2007-09-01
2007,10,"      Goddard","      N",6.04,4.33,2007-10-01
2007,11,"      Goddard","      N",9.76,8.06,2007-11-01
2007,12,"      Goddard","      N",12.03,10.18,2007-12-01
2008,1,"      Goddard","      N",13.89,12.3,2008-01-01
2008,2,"      Goddard","      N",14.95,13.21,2008-02-01
2008,3,"      Goddard","      N",15.18,13.53,2008-03-01
2008,4,"      Goddard","      N",14.35,12.78,2008-04-01
2008,5,"      Goddard","      N",12.97,11.25,2008-05-01
2008,6,"      Goddard","      N",11.21,8.85,2008-06-01
2008,7,"      Goddard","      N",8.68,6.06,2008-07-01
2008,8,"      Goddard","      N",5.91,3.79,2008-08-01
2008,9,"      Goddard","      N",4.69,3.26,2008-09-01
2008,10,"      Goddard","      N",7.35,5.77,2008-10-01
2008,11,"      Goddard","      N",10.34,9.05,2008-11-01
2008,12,"      Goddard","      N",12.36,10.97,2008-12-01
2009,1,"      Goddard","      N",13.91,12.32,2009-01-01
2009,2,"      Goddard","      N",14.81,13.21,2009-02-01
2009,3,"      Goddard","      N",14.98,13.43,2009-03-01
2009,4,"      Goddard","      N",14.5,12.92,2009-04-01
2009,5,"      Goddard","      N",13.19,11.48,2009-05-01
2009,6,"      Goddard","      N",11.32,9.25,2009-06-01
2009,7,"      Goddard","      N",8.47,6.12,2009-07-01
2009,8,"      Goddard","      N",6.14,4.16,2009-08-01
2009,9,"      Goddard","      N",5.26,3.76,2009-09-01
2009,10,"      Goddard","      N",6.92,5.24,2009-10-01
2009,11,"      Goddard","      N",9.77,8.36,2009-11-01
2009,12,"      Goddard","      N",12.2,10.59,2009-12-01
2010,1,"      Goddard","      N",13.74,12.04,2010-01-01
2010,2,"      Goddard","      N",14.58,12.96,2010-02-01
2010,3,"      Goddard","      N",15.14,13.53,2010-03-01
2010,4,"      Goddard","      N",14.66,12.85,2010-04-01
2010,5,"      Goddard","      N",12.87,10.88,2010-05-01
2010,6,"      Goddard","      N",10.59,8.37,2010-06-01
2010,7,"      Goddard","      N",8.07,5.57,2010-07-01
2010,8,"      Goddard","      N",5.87,3.88,2010-08-01
2010,9,"      Goddard","      N",4.87,3.34,2010-09-01
2010,10,"      Goddard","      N",6.98,5.48,2010-10-01
2010,11,"      Goddard","      N",9.61,8.43,2010-11-01
2010,12,"      Goddard","      N",11.83,10.43,2010-12-01
2011,1,"      Goddard","      N",13.46,11.83,2011-01-01
2011,2,"      Goddard","      N",14.36,12.76,2011-02-01
2011,3,"      Goddard","      N",14.55,12.83,2011-03-01
2011,4,"      Goddard","      N",14.11,12.45,2011-04-01
2011,5,"      Goddard","      N",12.68,10.74,2011-05-01
2011,6,"      Goddard","      N",10.75,8.54,2011-06-01
2011,7,"      Goddard","      N",7.72,5.4,2011-07-01
2011,8,"      Goddard","      N",5.5,3.38,2011-08-01
2011,9,"      Goddard","      N",4.56,3.21,2011-09-01
2011,10,"      Goddard","      N",6.46,5.02,2011-10-01
2011,11,"      Goddard","      N",9.77,8.52,2011-11-01
2011,12,"      Goddard","      N",12.15,10.63,2011-12-01
2012,1,"      Goddard","      N",13.73,12.21,2012-01-01
2012,2,"      Goddard","      N",14.55,12.72,2012-02-01
2012,3,"      Goddard","      N",15.2,13.41,2012-03-01
2012,4,"      Goddard","      N",14.63,12.87,2012-04-01
2012,5,"      Goddard","      N",13.01,11.05,2012-05-01
2012,6,"      Goddard","      N",10.67,8.16,2012-06-01
2012,7,"      Goddard","      N",7.67,5.09,2012-07-01
2012,8,"      Goddard","      N",4.72,2.93,2012-08-01
2012,9,"      Goddard","      N",3.57,2.41,2012-09-01
2012,10,"      Goddard","      N",5.89,4.58,2012-10-01
2012,11,"      Goddard","      N",9.39,8.06,2012-11-01
2012,12,"      Goddard","      N",12.01,10.45,2012-12-01
2013,1,"      Goddard","      N",13.7,12.02,2013-01-01
2013,2,"      Goddard","      N",14.72,13.2,2013-02-01
2013,3,"      Goddard","      N",15.03,13.45,2013-03-01
2013,4,"      Goddard","      N",14.3,12.75,2013-04-01
2013,5,"      Goddard","      N",13,11.25,2013-05-01
2013,6,"      Goddard","      N",11.36,8.95,2013-06-01
2013,7,"      Goddard","      N",8.13,5.81,2013-07-01
2013,8,"      Goddard","      N",6.01,4.17,2013-08-01
2013,9,"      Goddard","      N",5.21,3.78,2013-09-01
2013,10,"      Goddard","      N",7.45,5.95,2013-10-01
2013,11,"      Goddard","      N",9.94,8.66,2013-11-01
2013,12,"      Goddard","      N",12.18,10.87,2013-12-01
2014,1,"      Goddard","      N",13.65,12.1,2014-01-01
2014,2,"      Goddard","      N",14.42,12.56,2014-02-01
2014,3,"      Goddard","      N",14.76,12.95,2014-03-01
2014,4,"      Goddard","      N",14.09,12.43,2014-04-01
2014,5,"      Goddard","      N",12.7,11.05,2014-05-01
2014,6,"      Goddard","      N",11.03,8.76,2014-06-01
2014,7,"      Goddard","      N",8.11,5.96,2014-07-01
2014,8,"      Goddard","      N",6.08,4.37,2014-08-01
2014,9,"      Goddard","      N",5.22,3.74,2014-09-01
2014,10,"      Goddard","      N",7.23,5.7,2014-10-01
2014,11,"      Goddard","      N",10.11,8.75,2014-11-01
2014,12,"      Goddard","      N",12.35,10.89,2014-12-01
2015,1,"      Goddard","      N",13.6,12.17,2015-01-01
2015,2,"      Goddard","      N",14.4,12.85,2015-02-01
2015,3,"      Goddard","      N",14.37,12.78,2015-03-01
2015,4,"      Goddard","      N",13.89,12.33,2015-04-01
2015,5,"      Goddard","      N",12.47,10.9,2015-05-01
2015,6,"      Goddard","      N",10.88,8.7,2015-06-01
2015,7,"      Goddard","      N",8.38,5.66,2015-07-01
2015,8,"      Goddard","      N",5.6,3.63,2015-08-01
2015,9,"      Goddard","      N",4.62,3.42,2015-09-01
2015,10,"      Goddard","      N",6.97,5.49,2015-10-01
2015,11,"      Goddard","      N",9.85,8.48,2015-11-01
2015,12,"      Goddard","      N",12.04,10.64,2015-12-01
2016,1,"      Goddard","      N",13.46,11.8,2016-01-01
2016,2,"      Goddard","      N",14.2,12.43,2016-02-01
2016,3,"      Goddard","      N",14.4,12.61,2016-03-01
2016,4,"      Goddard","      N",13.68,11.98,2016-04-01
2016,5,"      Goddard","      N",11.92,10.25,2016-05-01
2016,6,"      Goddard","      N",10.41,8.21,2016-06-01
2016,7,"      Goddard","      N",7.94,5.37,2016-07-01
2016,8,"      Goddard","      N",5.37,3.31,2016-08-01
2016,9,"      Goddard","      N",4.53,2.91,2016-09-01
2016,10,"      Goddard","      N",6.08,4.4,2016-10-01
2016,11,"      Goddard","      N",8.66,7.01,2016-11-01
2016,12,"      Goddard","      N",11.46,9.62,2016-12-01
2017,1,"      Goddard","      N",13.19,11.37,2017-01-01
2017,2,"      Goddard","      N",14.12,12.32,2017-02-01
2017,3,"      Goddard","      N",14.29,12.61,2017-03-01
2017,4,"      Goddard","      N",13.75,12.26,2017-04-01
2017,5,"      Goddard","      N",12.63,11.01,2017-05-01
2017,6,"      Goddard","      N",10.76,8.63,2017-06-01
2017,7,"      Goddard","      N",7.94,5.65,2017-07-01
