Inventory Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Industrial processes,99.6657124653745,90.6812988182415,95.27772226637349,95.0037321390418,98.976936888632,117.85432114808063,129.00771516130962,136.60135393675262,153.00903264979692,150.0493321087141,151.00591053804828,137.8657067192072,146.7435407768827,137.9774816374591,145.6345300737101,147.6833183185315,150.67026673343148,162.4224002280553,164.25142517830582,160.211084090207,169.79716529157741,177.1129526206905,174.01312369320172,173.88895678937263,179.02115504829936,181.6351040067188,181.5006882600439,183.0651075614296,182.78243246177678
Total,99.6657124653745,90.6812988182415,95.27772226637349,95.0037321390418,98.976936888632,117.85432114808063,129.00771516130962,136.60135393675262,153.00903264979692,150.0493321087141,151.00591053804828,137.8657067192072,146.7435407768827,137.9774816374591,145.6345300737101,147.6833183185315,150.67026673343148,162.4224002280553,164.25142517830582,160.211084090207,169.79716529157741,177.1129526206905,174.01312369320172,173.88895678937263,179.02115504829936,181.6351040067188,181.5006882600439,183.0651075614296,182.78243246177678
