Transportation Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fossil fuel combustion: carbon dioxide,1469.0915393548,1422.4730029008,1477.761681188,1508.719278555,1553.7588877868,1580.4883565802,1627.156553737,1643.2890914179,1678.6127308777,1746.021605417,1779.3943405793,1758.4334294423,1799.8593278309,1792.5285156755,1837.1528099286,1856.1134426466,1852.7445636764,1854.8824631669,1760.2417537019,1685.0718196993,1695.4890276946,1670.5452411945,1661.1448361869,1674.1140919555,1713.7222088783,1725.2742525418,1765.3066855753,1787.273520876,1820.6563907674
Use of fluorinated gases,0,0,1.1689821,5.09734604,12.40641769,19.613488932,28.373833104,37.426521065,43.762914127,50.195083829,56.180975285,62.0117256775,64.48480932,66.1987384465,68.165038572,69.268510764,70.3162564665,71.1820539695,71.8629133105,71.0649747815,68.062051936,62.4338239075,57.124681929,51.5834115455,48.7538765015,46.3364928055,43.298741504,40.1397149325,38.4607436255
Fossil fuel combustion: other greenhouse gases,46.1409736045,47.8633032754,50.8023921186,52.7074527566,54.4964490778,55.9318134827,57.0062145887,57.71329097,57.8681601075,54.9031086506,53.5913553861,50.2831914516,47.9488620851,45.3673376568,42.5952807199,37.8607103862,36.8385676024,32.5377048162,30.0006782477,28.2922326636,27.1001198242,25.6736586916,23.0543625454,21.0664773791,19.0982104151,17.6818987576,16.6181209914,15.3469646262,14.1727458686
Other transportation categories,11.838675258,10.5909057919,10.7978808133,10.9950351155,11.4919904155,11.294701583,10.9613352501,11.579435176,12.1219962818,12.2487911844,12.0650899223,11.054295757,10.923330412,10.0987935863,10.2311715006,10.1776956663,9.9158322414,10.2398487114,9.5065907626,8.5470526799,10.4108368506,9.9802723033,9.1082462463,9.6432063845,10.0467975865,10.9514472657,10.3830563229,9.5506494688,9.2677320362
Total,1527.0711882173,1480.9272119681002,1540.5309362199,1577.5191124671003,1632.1537449700998,1667.3283605779,1723.4979366798,1750.0083386289002,1792.3658013939998,1863.368589081,1901.2317611727,1881.7826423284,1923.216329648,1914.1933853651,1958.1443007211,1973.4203594631,1969.8152199867,1968.842070664,1871.6119360227,1792.9760798243,1801.0620363054,1768.6329960969,1750.4321269076,1756.4071872646,1791.6210933814,1800.2440913706,1835.6066043936,1852.3108499035,1882.5576122977
