Residential Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fossil fuel combustion: carbon dioxide,338.2088968671,347.2772753237,353.5878277786,365.6433800469,356.7282560713,352.7681350327,383.0144501991,364.6268224487,331.2133231079,350.5002967319,370.7110405937,362.0657985122,360.1217806558,379.0808701831,367.9671372335,357.9343012874,321.3552156496,341.4429966582,348.1415975545,336.5563299605,334.9286314737,326.3739256319,282.6960351308,329.365549104,346.8111472002,317.7975812106,293.1482299672,293.8183238716,337.2509478608
Use of fluorinated gases,0.20712712,0.45370608,0.45370608,0.45370608,0.46321558,8.6896686,10.0047834,10.79784398,10.83375108,11.16076322,11.369680445,10.528381175,9.652948245,8.809607835,7.952341645,7.18749123,8.22450662,9.326014045,10.889429175,12.75943306,15.136401005,17.460653525,19.974936095,22.77470674,25.78177525,28.861184895,30.421347225,31.837120145,33.23492992
Fossil fuel combustion: other greenhouse gases,6.2856425084,6.5166250372,6.7796275249,6.0678694547,5.747824944,5.7008744058,5.9762041773,4.9980995386,4.4300724893,4.6177241016,4.9207483881,4.4964856176,4.5520891495,4.7947235737,4.8407327314,4.931613787,4.3622485099,4.7638030431,5.1343377509,5.3670169441,5.6578598949,5.4827577733,4.6022467676,5.8556961984,5.9822203653,5.3439543756,4.7074773672,4.5792835426,5.4331854679
Total,344.7016664955,354.24760644090003,360.8211613835,372.1649555816,362.9392965953,367.1586780385,398.9954377764,380.4227659673,346.47714667720004,366.2787840535,387.00146942679993,377.0906653048,374.3268180503,392.6852015918,380.7602116099,370.05340630439997,333.94197077949997,355.5328137463,364.16536448039994,354.6827799646,355.7228923736,349.31733693020004,307.27321799339995,357.9959520424,378.57514281550004,352.0027204812,328.27705455939997,330.2347275592,375.9190632487
