Inventory Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Energy,361.2179091526575,361.137223639595,356.565498865025,341.5800310298025,343.204240499725,334.8532174130675,332.7238407980675,329.003399443225,320.155613209925,308.012405691515,305.8441652850425,306.3931588475875,297.810167341265,297.2414130949325,297.6230461453275,292.00786633622,299.1152823624825,294.3510774826975,306.6941686176625,297.462525589185,295.8042183904175,284.4792068992775,274.4513481219525,278.707656958095,275.5754325930225,269.3037021591125,253.940726412265,257.3018136667875,253.906820112785
Agriculture,217.6248139983,219.7163468249475,223.1670296442475,228.27707192981,232.7465127984475,238.716064457625,237.018250455265,234.1618204222025,237.51621142293,238.306931531345,237.87407549981,234.927399185265,238.218593697335,235.816604780675,231.738153137725,238.8154097309925,238.2405058602475,246.7507299873375,242.4396289479775,242.665448474545,245.59177748717,239.727725411635,239.2476396339625,234.3223655660975,234.28573973892,240.975072639705,245.3317626833675,248.4445945101075,252.9794014534925
Waste,195.276919652195,197.718300362495,197.745132127105,195.768494362955,195.8606463789575,191.0639459595025,187.50144431479,178.2618451962575,168.6273767205975,162.1542144786175,158.9545817696175,154.092028305275,152.1478134407925,154.7357768663625,152.1537933889525,148.6282431228875,146.5158776535275,144.482168127965,142.4774487182675,139.993838815445,140.8624434489425,131.98610077187,133.0351179090375,129.319527358045,128.99103658262,127.9906077675475,124.6935043650725,124.275107703875,127.23376358938
"Land use, land-use change, and forestry",4.40227505423,4.5939481208625,3.9186864559225,3.7988063714875,4.5391586006375,3.9850869316825,4.6553815674025,3.7191065453625,4.294807128465,5.212606304865,5.7211998935175,4.7473848632025,12.58958657247,9.8817627185275,10.80539928834,8.8073882110175,6.15609168525,12.465319293935,5.9987841663725,8.191723650695,6.5368040683575,6.764313986335,12.6750468206625,6.3591064581375,9.5472358795275,16.13637978413,7.3026630493575,15.24721678557,15.2456397881275
Industrial processes,0.2898912302,0.2886716767,0.2763482158,0.3370861225,0.3493619128,0.3648430904,0.3869705172,0.4065089124,0.4005536356,0.3871742472,0.3381008688,0.2378500148,0.2416805784,0.2375452132,0.203710496,0.1105709916,0.0821697208,0.0855582776,0.0808065032,0.0760001854,0.0778898484,0.0774141101075,0.096038185405,0.1079865723275,0.1589013219475,0.21344444012,0.27879353207,0.2829516235125,0.33714192261
Total,778.8118090875826,783.4544906246,781.6726953081,769.761489816555,776.6999201905675,768.9831578522775,762.285887652725,745.5526805194474,730.9945621175174,714.0733322535425,708.7321233167875,700.3978212161298,701.0078416302624,697.9131026736974,692.5241024563451,688.3694783927175,690.1099272823075,698.134853169535,697.69083695348,688.38953671527,688.8731332432874,663.0347611792249,659.5051906710199,648.8166429127025,648.5583461160376,654.6192067906151,631.5474500421326,645.5516842898526,649.7027668663951
