Commercial Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fossil fuel combustion: carbon dioxide,228.1910012281,232.5386970098,227.9325856872,222.8917147551,224.6582897119,227.7319992651,237.4840247385,237.7716262453,220.0784086884,220.694539437,236.15151631,228.091953717,228.7063346673,239.7130581967,237.5879633687,226.8669427949,211.8274097641,223.5535107987,228.0609577953,228.41233321,224.8761014403,224.91386318,200.756590329,224.6554227435,232.8353780481,245.4385411494,232.3201640086,232.7563082241,246.4930454161
Landfills and waste services,199.0003467493,201.56510946670002,201.73132415889998,199.92844316670002,200.26544570389999,195.58130343250002,192.1917360016,183.06143812979997,173.6179560344,167.4167155844,164.4258133738,159.5612641288,157.7305509859,160.60095090500002,158.2293646519,154.68332772809998,152.69351495450002,150.7565988808,148.7410752218,146.1347335327,147.0362714583,138.1725619384,139.3871856751,135.8113736096,135.6341247486,134.65404212349998,131.5955501799,131.42879620669999,134.4383835322
Use of fluorinated gases,0.014129096,0.0149703312,0.0341293088,0.3348922532,1.6976396496,2.5252881176,3.646408038,5.3053179436,7.0458102514,8.7523059238,10.0511219189,12.0503340283,14.2359710946,16.525057796,18.6316519131,22.1499968475,25.9632955592,30.7161651868,36.0153299678,41.8489121348,46.9287100488,51.1595538986,54.4052900535,57.2405003982,59.4565867616,60.8481519851,61.5311363034,61.0405116454,60.8288212219
Fossil fuel combustion: other greenhouse gases,1.4628696463,1.4912357886,1.4806683161,1.4724434589,1.4442470867,1.4456830981,1.5105996907,1.4856720634,1.3336769274,1.3552418761,1.4623631684,1.4023843808,1.4009754715,1.48099952,1.4713650129,1.4251486625,1.3200386723,1.3986491644,1.4317772855,1.4350496996,1.4086390653,1.3785155103,1.2066972573,1.3579892815,1.4263360679,1.5707810868,1.5442784417,1.5383685574,1.5614882063
Total,428.6683467197,435.61001259630007,431.17870747099994,424.62749363390003,428.0656221521,427.2842739133,434.83276846880005,427.6240543821,402.0758519016,398.2188028213,412.0908147711,401.1059362549,402.0738322193,418.3200664177,415.9203449466,405.125416033,391.80425895009995,406.4249240307,414.2491402704,417.8310285771,420.2497220127,415.62449452730004,395.7557633149,419.0652860328,429.35242562620004,442.51151634480004,426.99112893359995,426.7639846336,443.3217383765
