Inventory Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Agriculture,330.0517326963644,318.9739489385134,316.7606935084226,340.127187258259,322.1419896820206,328.3349705164096,337.4001941766,328.3776498235566,332.3445604616968,324.7937675325386,310.8126653427214,332.846930270313,330.7587759022888,332.1577511258288,344.368894320725,329.585139027905,325.5389259910884,336.4445038513982,332.7982673459806,337.3610305470414,341.2580188074346,328.8462401901772,309.3687297131926,356.9304085747628,366.734076546542,365.772943555926,348.079292342926,346.2324638900772,357.7768426260082
Energy,67.5768663468096,69.2815027509402,72.5820678170038,75.3558198228,77.800549493716,79.5922451242366,81.5689613111764,82.8851375526228,83.5625034285486,81.2009283581156,81.6258888827874,78.3207664101054,77.38542945713,76.408764317326,75.2338259709138,72.0635075080338,70.9056690366,67.1315544720798,64.2964096471468,60.1337675611846,61.6294782895784,59.0107018166746,54.056603152041,54.6339485081036,53.0515234061612,49.2299505528066,47.783306260443,45.2196240003616,44.0062356988096
Industrial processes,33.272241266191,32.7260254707428,31.0191836243978,32.7275870589252,33.2127254996756,36.8129715839776,37.1974747071142,30.6003591198032,26.0918529387088,25.1440925725156,25.3999153656282,21.885404338786,22.9195287336656,22.7122655470934,21.0189127077898,24.9290139536392,26.0915342573598,30.0824053563678,20.287877216922,18.825769066451,22.3624460915244,27.8122652550142,22.4855923302706,21.1190380622054,22.8364857450894,22.154973181969,23.3027563794926,22.6531581408252,25.5408571090372
"Land use, land-use change, and forestry",2.9741074804908,3.1027873040638,3.0128300851282,3.1258356301714,3.6291726696652,3.3150249052232,4.074229820998,3.2440954705972,3.2916942950694,4.21831182389,4.9711721855052,4.204132402492,9.1197407947016,7.467376345283,8.7080619767982,7.4629512792428,5.9896442840634,10.0714969153806,5.6239350773396,6.9449481409622,4.906804819828,5.5065863293594,9.0720554874408,4.8247959486466,7.0074229827818,11.2488271050932,5.4851425312972,10.8275392262318,10.879523890289
Waste,3.7234270971152,3.8468091041936,3.9861920318334,4.1599488037418,4.4047993249134,4.5173574729908,4.6902916868232,4.799592933539,4.9905793138318,5.2625011058022,5.4712316041742,5.4692358234656,5.5827375450946,5.865174038648,6.0755712629996,6.0550846052072,6.1776373009634,6.2744307529006,6.2636265034618,6.1408947173344,6.1738280092794,6.186461166549,6.3520677660908,6.4918462515998,6.6430881658554,6.6634343560136,6.9020458148766,7.1536885027766,7.2046199428114
Total,437.59837488697093,427.93107356845377,427.3609670667858,455.4963785738975,441.18923666999086,452.5725696028378,464.9311517027118,449.9068349001188,450.28119043785546,440.619601392862,428.28087338081644,442.72646924516204,445.76621243288054,444.6113313741792,455.4052662392264,440.09569637402797,434.70341087007495,450.00439134812706,429.2701157908508,429.4064100329736,436.33057601764483,427.3622547577744,401.3350484490358,444.0000373453182,456.2725968464298,455.07012875180845,431.5525433290354,432.08647376027244,445.4080792669554
