Agriculture Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Crop cultivation,339.0726609435,328.175150483,325.5842844369,349.6099163748,329.94969050949993,336.74035169,346.09214007680004,335.53319573370004,341.5712204762,333.9909251111,321.0078249626,339.81036897959996,340.2951003449,338.4408795639,351.33912332259996,339.11149925809997,330.7773053962,343.19269457219997,338.44317418739996,343.8465657597,351.7564656354,334.62372088940003,317.27059849420004,361.44658807649995,372.734667954,372.6535602213,350.9798827447,348.32308010659995,359.7992957557
Livestock,215.2818489024,217.4757418565,220.91773794980003,224.8621332979,231.42617561880002,237.0580082475,234.95720581610001,233.64559305790002,235.51650928610002,236.2536225278,234.9521412656,235.4064396914,236.72444232819998,237.3436885603,231.8410142196,236.7880122755,240.26445151540003,247.66975599239998,244.96338463069998,243.01425819270003,243.2417990399,241.3318077421,241.0733213043,237.4836647042,235.81718108439998,241.913364811,249.5534828236,253.9481957849,258.7024435734
Fuel combustion,44.6127082877,44.0316275519,44.0682237392,44.142338527999996,44.45725047970001,44.3395736416,44.024139397,44.396349159799996,43.4387018017,41.277142448,40.4494554456,41.9760575642,42.9813494801,44.4923398947,49.6235446335,51.6392952654,55.2590381272,52.685703384,48.451257219199995,47.01540429360001,47.107727359500004,47.33225347969999,48.5518442871,46.238006384600006,46.387902408900004,41.4221443961,40.4473686321,40.1075383129,40.054810311299995
Total,598.9672181336,589.6825198913999,590.5702461259,618.6143882007,605.833116608,618.1379335791,625.0734852899001,613.5751379514,620.526431564,611.5216900869,596.4094216738001,617.1928662352,620.0008921532,620.2769080188999,632.8036821757,627.538806799,626.3007950388001,643.5481539486,631.8578160372999,633.8762282460001,642.1059920348,623.2877821112,606.8957640856001,645.1682591652999,654.9397514473,655.9890694284,640.9807342004001,642.3788142044,658.5565496404
